,Course,Model,Reciprocal_Rank
0,Agile Planning for Software Products,Author-Topic,0.058823529411764705
1,Agile Planning for Software Products,Author-Topic,0.07692307692307693
2,Agile Planning for Software Products,Author-Topic,0.07692307692307693
3,Agile Planning for Software Products,Author-Topic,0.07692307692307693
4,Agile Planning for Software Products,Author-Topic,0.07692307692307693
5,Agile Planning for Software Products,Author-Topic,0.058823529411764705
6,Agile Planning for Software Products,Author-Topic,0.05263157894736842
7,Agile Planning for Software Products,Author-Topic,0.05
8,Agile Planning for Software Products,Author-Topic,0.058823529411764705
9,Agile Planning for Software Products,Author-Topic,0.058823529411764705
10,Agile Planning for Software Products,Author-Topic,0.058823529411764705
11,Agile Planning for Software Products,Author-Topic,0.07692307692307693
12,Agile Planning for Software Products,Author-Topic,0.045454545454545456
13,Agile Planning for Software Products,Author-Topic,0.058823529411764705
14,Agile Planning for Software Products,Author-Topic,0.05263157894736842
15,Agile Planning for Software Products,Author-Topic,0.037037037037037035
16,Agile Planning for Software Products,Author-Topic,0.05263157894736842
17,Agile Planning for Software Products,Author-Topic,0.047619047619047616
18,Agile Planning for Software Products,Author-Topic,0.037037037037037035
19,Agile Planning for Software Products,Author-Topic,0.07692307692307693
20,Agile Planning for Software Products,Author-Topic,0.05263157894736842
21,Agile Planning for Software Products,Author-Topic,0.07692307692307693
22,Agile Planning for Software Products,Author-Topic,0.07692307692307693
23,Agile Planning for Software Products,Author-Topic,0.047619047619047616
24,Agile Planning for Software Products,Author-Topic,0.05263157894736842
25,Agile Planning for Software Products,Author-Topic,0.07692307692307693
26,Agile Planning for Software Products,Author-Topic,0.058823529411764705
27,Agile Planning for Software Products,Author-Topic,0.07692307692307693
28,Agile Planning for Software Products,Author-Topic,0.05263157894736842
29,Agile Planning for Software Products,Author-Topic,0.07692307692307693
30,Agile Planning for Software Products,Author-Topic,0.07692307692307693
31,Agile Planning for Software Products,Author-Topic,0.058823529411764705
32,Agile Planning for Software Products,Author-Topic,0.05263157894736842
33,Agile Planning for Software Products,Author-Topic,0.07692307692307693
34,Agile Planning for Software Products,Author-Topic,0.05263157894736842
35,Agile Planning for Software Products,Author-Topic,0.07692307692307693
36,Agile Planning for Software Products,Author-Topic,0.045454545454545456
37,Agile Planning for Software Products,Author-Topic,0.058823529411764705
38,Agile Planning for Software Products,Author-Topic,0.07692307692307693
39,Agile Planning for Software Products,Author-Topic,0.07692307692307693
40,Agile Planning for Software Products,Author-Topic,0.07692307692307693
41,Agile Planning for Software Products,Author-Topic,0.05263157894736842
42,Agile Planning for Software Products,Author-Topic,0.07692307692307693
43,Agile Planning for Software Products,Author-Topic,0.1
44,Agile Planning for Software Products,Author-Topic,0.058823529411764705
45,Agile Planning for Software Products,Author-Topic,0.047619047619047616
46,Agile Planning for Software Products,Author-Topic,0.058823529411764705
47,Agile Planning for Software Products,Author-Topic,0.058823529411764705
48,Agile Planning for Software Products,Author-Topic,0.047619047619047616
49,Agile Planning for Software Products,Author-Topic,0.07692307692307693
50,Agile Planning for Software Products,Author-Topic,0.058823529411764705
51,Agile Planning for Software Products,Author-Topic,0.08333333333333333
52,Agile Planning for Software Products,Author-Topic,0.07692307692307693
53,Agile Planning for Software Products,Author-Topic,0.058823529411764705
54,Agile Planning for Software Products,Author-Topic,0.058823529411764705
55,Agile Planning for Software Products,Author-Topic,0.07692307692307693
56,Agile Planning for Software Products,Author-Topic,0.058823529411764705
57,Agile Planning for Software Products,Author-Topic,0.05263157894736842
58,Agile Planning for Software Products,Author-Topic,0.05263157894736842
59,Agile Planning for Software Products,Author-Topic,0.058823529411764705
60,Agile Planning for Software Products,Author-Topic,0.05263157894736842
61,Agile Planning for Software Products,Author-Topic,0.05263157894736842
62,Agile Planning for Software Products,Author-Topic,0.058823529411764705
63,Agile Planning for Software Products,Author-Topic,0.07692307692307693
64,Agile Planning for Software Products,Author-Topic,0.07692307692307693
65,Agile Planning for Software Products,Author-Topic,0.058823529411764705
66,Agile Planning for Software Products,Author-Topic,0.058823529411764705
67,Agile Planning for Software Products,Author-Topic,0.058823529411764705
68,Agile Planning for Software Products,Author-Topic,0.034482758620689655
69,Agile Planning for Software Products,Author-Topic,0.07692307692307693
70,Agile Planning for Software Products,Author-Topic,0.3333333333333333
71,Agile Planning for Software Products,Author-Topic,0.058823529411764705
72,Agile Planning for Software Products,Author-Topic,0.3333333333333333
73,Agile Planning for Software Products,Author-Topic,0.07692307692307693
74,Agile Planning for Software Products,Author-Topic,0.058823529411764705
75,Agile Planning for Software Products,Author-Topic,0.05263157894736842
76,Agile Planning for Software Products,Author-Topic,0.07692307692307693
77,Agile Planning for Software Products,Author-Topic,0.05263157894736842
78,Agile Planning for Software Products,Author-Topic,0.07692307692307693
79,Agile Planning for Software Products,Author-Topic,0.05263157894736842
80,Agile Planning for Software Products,Author-Topic,0.058823529411764705
81,Agile Planning for Software Products,Author-Topic,0.047619047619047616
82,Agile Planning for Software Products,Author-Topic,0.037037037037037035
